Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME165102;The Gelaohui;;;;;;;;;;;;;
EVTDESC165102;The Elder Brother Society, also known as the Hatchet Gang for the small hatchet every member carries, is a fraternal society that despises foreigners - both Manchu and Western.;;;;;;;;;;;;;
EVTOPTA165102;What can a hatchet do against the Qing army?;;;;;;;;;;;;;
EVTNAME165103;Secret Societies Spread to $STATENAME$!;;;;;;;;;;;;;
EVTDESC165103;Anti-Qing secret societies have recruited many members in $STATENAME$.;;;;;;;;;;;;;
EVTOPTA165103;Hmm, that's worrying.;;;;;;;;;;;;;
EVTNAME166510;The Land Reform;;;;;;;;;;;;;
EVTDESC166510;We have kept the foreigners at bay, for now, but they still greedily eye our lands. Passing land reforms will strengthen our economy and help us better resist the so-called `civilized` powers.;;;;;;;;;;;;;
EVTOPTA166510;We must pass the reform.;;;;;;;;;;;;;
EVTOPTB166510;Hmm. No.;;;;;;;;;;;;;
EVTNAME166511;The Administrative Reform;;;;;;;;;;;;;
EVTDESC166511;We have kept the foreigners at bay, for now, but they still greedily eye our lands. Passing administrative reforms will strengthen our realm and help us better resist the so-called `civilized` powers.;;;;;;;;;;;;;
EVTNAME166512;The Education Reform;;;;;;;;;;;;;
EVTDESC166512;We have kept the foreigners at bay, for now, but they still greedily eye our lands. Passing education reforms will improve our research and help us better resist the so-called `civilized` powers.;;;;;;;;;;;;;
EVTNAME166513;The University Reform;;;;;;;;;;;;;
EVTDESC166513;We have kept the foreigners at bay, for now, but they still greedily eye our lands. Passing university reforms will improve our research and help us better resist the so-called `civilized` powers.;;;;;;;;;;;;;
EVTNAME165200;The Red Turban Rebellion;;;;;;;;;;;;;
EVTDESC165200;Tiandihui and Gelaohui members, inspired by the Red Turban Rebellion that overthrew the Yuan Dynasty, are sporting red turbans and rebelling against Qing rule.;;;;;;;;;;;;;
EVTOPTA165200;Crush them!;;;;;;;;;;;;;
EVTOPTB165200;Out with the Qing!;;;;;;;;;;;;;
EVTNAME165201;Red Turban Rebellion Defeated;;;;;;;;;;;;;
EVTDESC165201;The Red Turban rebels have been shattered and the remaining secret societies have returned to hiding.;;;;;;;;;;;;;
EVTOPTA165201;Long Live the Qing!;;;;;;;;;;;;;
EVTNAME165206;The Red Turbans are Victorious!;;;;;;;;;;;;;
EVTDESC165206;The Red Turbans can now count two successful rebellions against barbarian rule - both the Mongol Yuan and the Manchu Qing have been toppled. China is once again ruled by the Han.;;;;;;;;;;;;;
EVTOPTA165206;Hooray!;;;;;;;;;;;;;
EVTNAME165207;Red Turban Power Struggle;;;;;;;;;;;;;
EVTDESC165207;The disparate organizations that compose the Red Turbans, although united in opposition against the Qing, diverge in their vision of China's future. Victory and peace has exposed these cracks and a final decision on the distribution of power in the Red Turbans must be made.;;;;;;;;;;;;;
EVTOPTA165207;The Tiandihui will revive the Ming!;;;;;;;;;;;;;
EVTOPTB165207;The Gelaohui will expel the barbarians!;;;;;;;;;;;;;
EVTOPTC165207;There's no problem with the current arrangement;;;;;;;;;;;;;
EVTNAME165209;The Sanhehui;;;;;;;;;;;;;
EVTDESC165209;After the end of the Red Turban Rebellion, former revolutionaries having trouble adjusting to peacetime and local militas and bandits not incorporated into the $COUNTRY_ADJ$ army have turned to drugs and extortion for income. Organizing themselves into underground cells, many have joined the Sanhehui (Triple Union Society), better known as the Triads, referring to the union of heaven, earth and humanity. They have - using a combination of threats and bribes - co-opted many officials and are in a good position to sieze power.;;;;;;;;;;;;;
EVTOPTA165209;The Triads will take control.;;;;;;;;;;;;;
EVTOPTB165209;Stop these criminal organizations at any cost!;;;;;;;;;;;;;
EVTNAME166220;The Nian Rebellion;;;;;;;;;;;;;
EVTDESC166220;What began as groups of poor roaming peasants displaced by the Yellow River flood grew into larger and larger bandit gangs after years of Qing mismanagement. Finally, under Zhang Lexing, the bands were organized into a loose alliance of five banners of rebel troops.;;;;;;;;;;;;;
EVT166220OPTA;More rebel scum!;;;;;;;;;;;;;
EVTNAME166222;A New Captial for Our Nation;;;;;;;;;;;;;
EVTDESC166222;$COUNTRY$ is united and many in the government argue that the current capital is not a suitable location to command our nation. A few proposals came forward for suitable cities that could replace it, now it's only a matter of choosing one.;;;;;;;;;;;;;
EVT166222OPTA;Nanjing will be the new capital.;;;;;;;;;;;;;
EVT166222OPTB;Luoyang, the ancient imperial city.;;;;;;;;;;;;;
EVT166222OPTC;A new Chang'an will be founded as the capital.;;;;;;;;;;;;;
EVT166222OPTD;Chengdu is an important city.;;;;;;;;;;;;;
EVT166222OPTE;The current capital is fine.;;;;;;;;;;;;;
EVTNAME165223;The Miao Rebellion;;;;;;;;;;;;;
EVTDESC165223;Guizhou has been hotbed of anti-government unrest ever since the Ming dynasty. Once again, the locals have risen in revolt.;;;;;;;;;;;;;
EVTOPTA165223;Crush the rebels!;;;;;;;;;;;;;
EVTOPTB165223;Out with the Qing!;;;;;;;;;;;;;
EVTNAME165224;Miao Rebellion Defeated;;;;;;;;;;;;;
EVTDESC165224;We have defeated the Miao rebels!;;;;;;;;;;;;;
EVTOPTA165224;Excellent;;;;;;;;;;;;;
EVTNAME165225;Punti-Hakka Clan Wars;;;;;;;;;;;;;
EVTDESC165225;The Hakka, originally refugees from Central China, have been feuding with the Cantonese for generations. Another wave of against the Hakka has begun as the Cantonese vow revenge against Hakka collaborators with the Qing army.;;;;;;;;;;;;;
EVTOPTA165225;The fools bicker.;;;;;;;;;;;;;
EVTNAME166300;The Chinese Rite;;;;;;;;;;;;;
EVTDESC166300;The Taiping have overthrown the Qing dynasty. They claim to be Christians, but their rituals are mixed with strange Chinese practices, and more worryingly, their leader claims to be Jesus Christ's little brother! The Pope is considering how to respond to this development, and since we own Rome, we can influence the Holy See's decision.;;;;;;;;;;;;;
EVT166300OPTA;The Taiping are heretics!;;;;;;;;;;;;;
EVT166300OPTB;They believe in God too, do they not?;;;;;;;;;;;;;
EVTNAME166301;Taiping-American Relations;;;;;;;;;;;;;
EVTDESC166301;INCOMPLETE DESC The Taiping have overthrown the Qing dynasty. Although the Taiping claim to be Christian, Southern Baptist missionary Issachar Jacox Roberts claims that the Taiping religion deviates too radically from real Christianity.;;;;;;;;;;;;;
EVT166301OPTA;Teach the Chinese how to worship properly.;;;;;;;;;;;;;
EVT166301OPTB;Don't bother;;;;;;;;;;;;;
EVTNAME166302;Pro-Qing Intervention?;;;;;;;;;;;;;
EVTDESC166302;Rebels have overthrown the Qing dynasty, undoing years of hard work opening China up to our merchants. However, remnants of the Qing court survive in Manchuria. Perhaps with our support the Qing could restore order in China. Contacts in Manchuria say the Qing are ready to give us a concession if the plan were to succeed.;;;;;;;;;;;;;
EVT166302OPTA;Propose the plan to Manchuria.;;;;;;;;;;;;;
EVT166302OPTB;Who cares about Chinese conflict?;;;;;;;;;;;;;
EVTNAME166303;American Missionaries Arrive;;;;;;;;;;;;;
EVTDESC166303;American missionaries, inspired by our nation's new Christian faith, have arrived in significant numbers, ready to spread the word of God. However, the entry of more discourteous foreigners and the differences between Taiping and Western Protestant doctrine may cause unrest and instability.;;;;;;;;;;;;;
EVT166303OPTA;Welcome the missionaries.;;;;;;;;;;;;;
EVT166303OPTB;Discourage the missionaries.;;;;;;;;;;;;;
EVTNAME166307;Pope Denounces Taiping!;;;;;;;;;;;;;
EVTDESC166307;In his latest address to the Holy See, the Pope has denounced the Taiping religion and encouraged Catholic nations to attack.;;;;;;;;;;;;;
EVTOPTA166307;Papist scum!;;;;;;;;;;;;;
EVTNAME166308;The Pope Condemns the Taiping;;;;;;;;;;;;;
EVTDESC166308;The Pope has condemned the Taiping for heresy! This is the perfect chance to show the Chinese their place and obtain concessions from them.;;;;;;;;;;;;;
EVT166308OPTA;Let's crush those heretics!;;;;;;;;;;;;;
EVT166308OPTB;Don't waste time with colonial adventures.;;;;;;;;;;;;;
EVTNAME166309;The Pope does not Condemn the Taiping;;;;;;;;;;;;;
EVTDESC166309;The Pope did not condemn the Taiping and hopes that the new Taiping church will protect Catholics and missionaries in China.;;;;;;;;;;;;;
EVT166309OPTA;Excellent news.;;;;;;;;;;;;;
EVTNAME166310;Anti-Taiping Secret Societies;;;;;;;;;;;;;
EVTDESC166310;A mob has attacked our troops who were trying to demolish a non-Taiping temple. It appears the Tiandihui is still active and is organizing militas to oppose our Christianization efforts.;;;;;;;;;;;;;
EVT166310OPTA;Idoltry will not be tolerated!;;;;;;;;;;;;;
EVTNAME166311;The Red Turban Rebellion;;;;;;;;;;;;;
EVTDESC166311;Resistance to Taiping Christanization efforts have increased to the point that secret societies across China are calling for open revolt against the Taiping.;;;;;;;;;;;;;
EVT166311OPTA;Crush the rebels!;;;;;;;;;;;;;
EVT166311OPTB;Out with the Taiping!;;;;;;;;;;;;;
EVTNAME166312;Red Turban Rebellion Defeated;;;;;;;;;;;;;
EVTDESC166312;The last of the Red Turban armies have been defeated and their sympathizers captured.;;;;;;;;;;;;;
EVT166312OPTA;Demon worshippers must be destroyed!;;;;;;;;;;;;;
EVTNAME166313;The Red Turbans are Victorious!;;;;;;;;;;;;;
EVTDESC166313;The last of the Taiping armies have been defeated and their heterodox cult discredited.;;;;;;;;;;;;;
EVT166313OPTA;Hooray!;;;;;;;;;;;;;
EVTNAME166710;East Shantung Trade;;;;;;;;;;;;;
EVTDESC166710;The treaty ceding the port Weihaiwei to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166710OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166713;End of East Shantung Trade;;;;;;;;;;;;;
EVTDESC166713;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166713OPTA;Good riddance.;;;;;;;;;;;;;
EVTNAME166720;West Shantung Trade;;;;;;;;;;;;;
EVTDESC166720;The treaty ceding the port Qingdao to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166720OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166723;End of West Shantung Trade;;;;;;;;;;;;;
EVTDESC166723;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166723OPTA;Good riddance.;;;;;;;;;;;;;
EVTNAME166730;North Kiangsu Trade;;;;;;;;;;;;;
EVTDESC166730;The treaty ceding the port Nantong to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166730OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166733;End of North Kiangsu Trade;;;;;;;;;;;;;
EVTDESC166733;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166733OPTA;Good riddance.;;;;;;;;;;;;;
EVTNAME166740;Kiangsu Trade;;;;;;;;;;;;;
EVTDESC166740;The treaty ceding the port Shanghai to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166740OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166743;End of Kiangsu Trade;;;;;;;;;;;;;
EVTDESC166743;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166743OPTA;Good riddance.;;;;;;;;;;;;;
EVTNAME166750;Anhwei Trade;;;;;;;;;;;;;
EVTDESC166750;The treaty ceding the port Jiaxing to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166750OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166753;End of Anhwei Trade;;;;;;;;;;;;;
EVTDESC166753;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166753OPTA;Good riddance.;;;;;;;;;;;;;
EVTNAME166760;Chekiang Trade;;;;;;;;;;;;;
EVTDESC166760;The treaty ceding the port Ningbo to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166760OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166763;End of Chekiang Trade;;;;;;;;;;;;;
EVTDESC166763;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166763OPTA;Good riddance.;;;;;;;;;;;;;
EVTNAME166770;Kwangtung Trade;;;;;;;;;;;;;
EVTDESC166770;The treaty ceding the ports in Eastern Guangdong to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166770OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166773;End of Kwangtung Trade;;;;;;;;;;;;;
EVTDESC166773;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166773OPTA;Good riddance.;;;;;;;;;;;;;
EVTNAME166780;Kochow Trade;;;;;;;;;;;;;
EVTDESC166780;The treaty ceding the ports in Western Guangdong to $FROMCOUNTRY$ also stipulate giving $FROMCOUNTRY_ADJ$ merchants trade access to the region.;;;;;;;;;;;;;
EVT166780OPTA;There is no choice but to comply;;;;;;;;;;;;;
EVTNAME166783;End of Kochow Trade;;;;;;;;;;;;;
EVTDESC166783;For whatever reason, foreign merchants are having difficulty trading in this area.;;;;;;;;;;;;;
EVT166783OPTA;Good riddance.;;;;;;;;;;;;;
EVTDESC164601_NEW;Revolutionaries seeking to bring down the $COUNTRY_ADJ$ have been stirring up a revolt in $STATENAME$. The authorities have already ambushed and cracked down on rebel cells in $PROVINCENAME$ with the help of informants, but key revolutionaries remain at large.;;;;;;;;;;;;;
EVTNAME6660000;Tax Refund;;;;;;;;;;;;;
EVTDESC6660000;In order to avoid a liquidity crisis, money stored in treasuries is forcibly injected back into the economy. The max amount of money the treasury can hold is determined by population and Monetary System Technology. \n No other conditions met: 2 mil ¤ \n Ad Hoc Money Printing OR 8 mil pops (32 mil population): 4 mil ¤ \n Private Bank Money Printing OR 16 mil pops (54 mil population): 6 mil ¤ \n Central Bank Money Printing OR 32 mil pops (128 mil population): 8 mil ¤ \n Modern Central Bank System OR 64 mil pops (256 mil population): 10 mil ¤ \n Market Determined Exchange Rates OR 128 mil pops (512 mil population): 15 mil ¤ \n Fiat Money OR 256 mil pops (1024 mil population): 20 mil ¤  \n This event does not apply to the AI if it is at war.;;;;;;;;;;;;;
EVTDESC164599_NEW;The forces of revolution have turned against the $COUNTRY_ADJ$ Government. With dissent threatening to spread into chaos, revolutionaries, mutinous New Army soldiers, and defecting governors have seized several provinces and declared a Republic of China in direct opposition to $COUNTRY_ADJ$ rule. The Beiyang Army has remained loyal to the $COUNTRY_ADJ$, however, there are signs that army leaders are holding negotiations with the revolutionaries and may launch a coup. Skirmishes between government and rebel troops have begun, and the fate of the nation is uncertain.;;;;;;;;;;;;;
EVTDESC12310;"A city founded upon oil, for to its inexhaustible founts of naphtha it owes its very existence, its maintenance, its prosperity... the immense output in crude petroleum from this single city far surpasses that in any other district where oil is found... the rock poured me out rivers of oil. Oil is in the air one breathes, in one's nostrils, in one's eyes, in the water of the morning bath (though not in the drinking water, for that is brought in bottles from distant mineral springs), in one's starched linen – everywhere."\n$PROVINCENAME$ is home to one of the most productive oil fields in the world, but much of its potential remained untapped until now.;;;;;;;;;;;;;
EVTDESC166600;Generals of the Beiyang Army warn that they will be unable to protect the imperial palace if $CAPITAL$ were to fall to the rebels. They are, however, willing to negotiate with the rebels and offer a safe retirement for the Imperial Family. In case the Emperor refuses to abdicate, the generals claim that Beiyang troops are ready to assault the Imperial Palace and arrest the Imperial Court..;;;;;;;;;;;;;
EVTDESC166602;Emissaries from the Beiyang Army claim the Xinhai Revolution is too weak to achieve victory on its own. Many in the Beiyang Army are dissatisfied with the Emperor as well, and offer to force him to abdicate. In exchange, the Beiyang commander will be appointed the President of China. Accepting would prevent the chaos of a brutal revolutionary war and potential foreign intervention, but the dream of a democratic China may die under Beiyang military rule.;;;;;;;;;;;;;
EVTDESC166603;The Beiyang Army has deposed the Emperor. The presidency of the new Republic has been given to the Beiyang, ministers replaced by Beiyang appointees, and legislators are cowed by harassment and assassination - the Beiyang have not just usurped the Empire but the Republic as well.;;;;;;;;;;;;;
EVTDESC166700;$COUNTRY_ADJ$ overthrow of the previous dynasty did not expel the barbarian missionaries and merchants or end the unequal treaties negotiated by the old regime. We could declare the treaties void and expel the foreigners, at the risk of drawing the ire of their home countries.;;;;;;;;;;;;;
EVTNAME165202;Truce With the Red Turbans;;;;;;;;;;;;;
EVTDESC165202;Even though we are not yet done with the Red Turbans, the fact the rebels have forced us to a ceasefire and have not been crushed is being taken by our Chinese subjects as a sign of weakness. Officials are predicting rebellions in many other places in the years to come.;;;;;;;;;;;;;
EVTNAME165203;Truce With the Manchu;;;;;;;;;;;;;
EVTDESC165203;Though we are not yet done battling the hated Manchu, for the moment the Heavenly Kingdom claims victory. We have forced a truce, and now the Manchu will need to deal with rebellions across their land as the people realize their mandate to rule no longer exists. All the world watches us.;;;;;;;;;;;;;
EVTNAME165204;The War Against the Red Turbans;;;;;;;;;;;;;
EVTDESC165204;The continued existence of the Red Turban rebels is an embarrassment to the Qing government and our Emperor. Calls have been made for the war to resume, and this time for a national effort be started to draft men into the Qing army. There will be considerable resistance, but the Emperor has decreed that the Red Turbans must be destroyed!;;;;;;;;;;;;;
EVTNAME165205;The War Against the Manchu;;;;;;;;;;;;;
EVTDESC165205;The truce with the Qing Emperor has come to an end, and already the calls have begun for the Red Turban Revolution to continue. The Manchu must be thrown down! All of China must be freed!;;;;;;;;;;;;;
EVTDESC166505;The Qing has fallen, but united the rebellion is not. Some of our leaders feel the Taiping shows the most promise in rejuvenating China. Or perhaps the whole of China should be ruled directly from $CAPITAL$?;;;;;;;;;;;;;
EVTDESC166506;The Qing has fallen, but united the rebellion is not. Some of our leaders believe joining the Red Turbans would serve China best. Or perhaps the whole of China should be ruled directly from $CAPITAL$?;;;;;;;;;;;;;
EVTDESC166507;The Qing has fallen, but united the rebellion is not. Some of our leaders believe joining the Red Turbans would serve China best, yet others feel the Taiping shows the most promise in rejuvenating China. Or perhaps the whole of China should be ruled directly from $CAPITAL$?;;;;;;;;;;;;;
EVTDESC6001001;Scientists in $COUNTRY$ have created a working atomic bomb. A test of their new weapon, conducted at a secret location, yielded excellent results. With continued military funding, mass production of this devastating weapon will soon be possible.;;;;;;;;;;;;;
EVTDESC6001002;Production of atomic bombs in $COUNTRY$ has been streamlined and a large stockpile of nuclear weapons is ready for mass deployment.;;;;;;;;;;;;;
EVTDESC6001100;$FROMCOUNTRY$ has annihilated several of our military installations - as well as the cities situated nearby.;;;;;;;;;;;;;
EVTDESC6001101;$CAPITAL$ and several cities have been struck by nuclear bombs.;;;;;;;;;;;;;
EVTDESC6001102;$CAPITAL$ and many cities have been struck by multiple nuclear bombs.;;;;;;;;;;;;;
EVTDESC6001201;We have the choice to issue two types of ultimatums, one calling for the total capitulation of our enemies which will not be so readily accepted or to demand a white peace which would be more likely to be accepted. $COUNTRY_ADJ$ military planners have also prepared a list of possible targets that can be struck in a limited nuclear attack. This can make the difference between nuclear annihilation or the greatest victory $COUNTRY$ ever had.;;;;;;;;;;;;;
EVTDESC6001204;$FROMCOUNTRY$ rejected our very generous demands and thus we have launched our nuclear warheads against them. Let's hope this will teach $FROMCOUNTRY$ not to mess with us anymore.;;;;;;;;;;;;;
EVTDESC6001205;In order to avert a nuclear war with $COUNTRY$, the $FROMCOUNTRY$ leader has agreed to surrender to $COUNTRY$ with immediate effect. As part of the agreement, the $COUNTRY_ADJ$ military forces will occupy all provinces under the control of $FROMCOUNTRY$. Elements of the $FROMCOUNTRY_ADJ$ military have however refused to surrender and continue to attack our forces. Nevertheless, a peace deal should be close.;;;;;;;;;;;;;
EVTDESC6001206;In order to avert a nuclear war with $COUNTRY$, the $FROMCOUNTRY$ leader has agreed to a ceasefire with $COUNTRY$. As part of the agreement, the $FROMCOUNTRY_ADJ$ and $COUNTRY_ADJ$ military forces will withdraw from all engagements with each other and seek to promote better relations to avoid another conflict. The international community has praised the $FROMCOUNTRY_ADJ$ leader for his restraint.;;;;;;;;;;;;;
EVTDESC6001301;An issue at a nuclear reactor has lead to the release of significant amounts of radioactive material into the environment. Concerning amounts of radioisotopes have been detected in multiple locations, and it will take time for the contaminated areas to be safe again.;;;;;;;;;;;;;
EVTDESC6001302;Radioactive fallout has drifted from a neighboring province to $STATENAME$.;;;;;;;;;;;;;
EVTNAME99930;Splendid Isolation;;;;;;;;;;;;;
EVTDESC99930;It is the duty of the Government of this country, placed as it is with regard to geographical position, to keep itself upon terms of goodwill with all surrounding nations, but not to entangle itself with any single or monopolising alliance with any one of them, above all to endeavour not to interfere needlessly and vexatiously with the internal affairs of any foreign country. - Lord Edward Stanley, Secretary of State for Foreign Affairs. \n\nThe policy of 'splendid isolation' was characterised by Britain's reluctance to enter into permanent European alliances or commitments with the other great powers. During the late 19th century, Britain's primary goal in foreign policy was to maintain the balance of power in Europe and to intervene if that balance was upset. Its secondary goal was to protect its overseas interest in the colonies and dominions, as free trade kept the Empire alive.;;;;;;;;;;;;;
EVT99930OPT;The great Mother Empire stands splendidly isolated in Europe!;;;;;;;;;;;;;
EVTNAME5000002;Claiming Pontus;;;;;;;;;;;;;
EVTDESC5000002;The Greek government has chosen to actively pursue a strategy of recovering Greek lands held by the Turks. We now have the political clout in the international stage to give a serious voice and weight to these claims. The question remains, however, in which parts we should focus on.;;;;;;;;;;;;;
EVT5000002OPTA;We are only interested in Pontus;;;;;;;;;;;;;
EVT5000002OPTB;Everything we can claim on the coast of the Black Sea!;;;;;;;;;;;;;
EVTNAME10340;Milan Uprising;;;;;;;;;;;;;
EVTDESC10340;Beginning as a Milanese boycott of Austrian tobacco products, unrest in Milan has recently hit new heights as mobs began to attack government buildings. More worringly, the Savoyards appear to be considering an intervention to support the Milanese insurgents.;;;;;;;;;;;;;
EVT10340OPTA;We will restore order!;;;;;;;;;;;;;
EVT10340OPTB;We have to evacate Lombardia completely.;;;;;;;;;;;;;
EVT10340OPTC;Throw off Hapsburg rule!;;;;;;;;;;;;;
EVTNAME10341;Intervention in Milan;;;;;;;;;;;;;
EVTDESC10341;Milanese revolutionaries have contacted us, asking for our aid to expel the Austrians from Lombardy. This is a great pretense for us to unite Italy under the Savoyard flag.;;;;;;;;;;;;;
EVT10341OPTA;We will liberate Lombardy!;;;;;;;;;;;;;
EVT10341OPTB;They must fight on their own.;;;;;;;;;;;;;
EVTNAME10342;Rebellion in Venice;;;;;;;;;;;;;
EVTDESC10342;Revolutionaries have siezed control of the Venetian arsenal, naval yard, and munition depot. News spread reapidly and much of the state has joined the revolt, proclaiming a new Venetian republic. Field Marshal Radetzky was able maintain control over Verona, but the situation remains tense.;;;;;;;;;;;;;
EVT10342OPTA;We will restore order!;;;;;;;;;;;;;
